105121481662541824	#dexter	neutral	I forgot how sad the first episode of the 5th season of Dexter is. #depressing #dexter #darkpassenger
104319460143415296	#dexter	positive	Oct. 2 is almost too far away for me to wait for the return of #Dexter!
103641916586999808	#dexter	positive	"(OFF TOPIC) - there is only 3 episodes on the first disk of #Dexter. Please hurry, @netflix with the 2nd #fitblog"
100544750414864384	#dexter	neutral	"@iheardavoicesay is finally catching up to me with #Dexter. I'm only up to season 4, but he has almost finished season 2 today @ home, ill."
102220476499243008	#dexter	neutral	"I downloaded the first season of #Dexter, gonna start watching the 2nd episode. Time to tweet #twittwit ^^"
101769300683141120	#dexter	neutral	Let's see if I can wrap up season three of #Dexter tonight: only 1 more episode to go till the season finale. Roll on series four please!
100395522971545601	#dexter	neutral	RT @ReignOfSuccess: 1st rule of the code: Don't get caught  #Dexter
103277622636716032	#dexter	positive	"#3words \""""Tonight's the night\"""" #dexter @SHO_Dexter"
106222697310208000	#dexter	positive	"#ICanHonestlySay #Dexter is such a good show, I may order Showtime just because of it."
104653618153668609	#dexter	neutral	@dazzlindez @hotspur18 Don't feel obliged to discuss #Dexter tonight. Living it large in Brighton so please use direct messages....
102976668825698305	#dexter	positive	"@hughhefner Make sure you & the girls watch seasons 1-5 of #Dexter, before season 6 premieres Oct 2.  Seasons 1 & 4 are the best!"
105076027692302336	#dexter	positive	Addicted to #Dexter... what's new. Almost done with season 5 and I just got it on Thursday!
103748679004987392	#dexter	positive	Barely going to sleep after watching #dexter all evening! I love this show!
103535459300413440	#dexter	positive	"Beer and chicken night! Watching #Dexter till the working hours (11.59pm - 8 am) Maybe we should reserve the nickname \""""dexter\""""? Might be fun"
100018263337078785	#dexter	positive	Enjoying a night of #Dexter with @DomoniqueP07 :)
107551816442585088	#dexter	positive	"Finally starting the 5th season of #Dexter.  See ya later, weekend!"
107641819298406400	#dexter	positive	Fuck everyone else #dexter is my friend tonight. Bring it season 4
103610752316870656	#dexter	neutral	The complete 5th season of #Dexter is available on DVD today! Or you could just watch it On Demand.. http://ht.ly/64rcd
107355493328101376	#dexter	positive	"Yeah boiii #entourage tonight, so pissed that there's only 3 epsdes until it ends. Oh well on the up side #dexter season 6 starts soon...ish"
263484862076420097	a$ap rocky	neutral	@roslyngjones I\u2019m going Tuesday to the house of blues to see A$AP Rocky
263160058911789056	a$ap rocky	neutral	I have a real dilemma here\u002c so tomorrow is the A$AP Rocky concert in phoenix but I got called back to start working tomorrow at Bianchi\u2019s
264029423173521408	a$ap rocky	neutral	Whoever\u2019s going to A$AP Rocky wit me on the 8th better buy their tickets like today. I think imma get mine soon
263150115269779456	a$ap rocky	positive	"\""""@Rican_Amor: Who wants to go to a A$AP Rocky concert with me on the 14th or 15th ?!?!?\"""" you don\u2019t have a choice on who you taking we going!"
263340308211851264	a$ap rocky	positive	@KalebZian I see you\u2019re in Dallas & a fan of A$AP Rocky\u002c email us (att@m80.com) for a great oppo to attend show at HOB on Fri!
264106557392973824	a$ap rocky	positive	@funfunfunfest is coming up this weekend!! We\u2019re super excited! Playing the Blue Stage on Sat night right before A$AP Rocky!
263048213001535488	a$ap rocky	positive	AHHH! My mom said yes for me to go the A$AP Rocky concert!! Nov 8th we out! #EXCITED
263150010542202880	a$ap rocky	positive	It looks like my brother is going to see A$AP Rocky tomorrow sigh his life needs to stop being significantly better than mine
263069843765469184	a$ap rocky	negative	May I ask what\u2019s so cool about A$ap Rocky?
