522712800595300352	aaron rodgers	neutral	I just cut a 25 second audio clip of Aaron Rodgers talking about Jordy Nelson's grandma's pies. Happy Thursday.	
522559216645840897	aaron rodgers	neutral	Tough loss for the Dolphins last Sunday in Miami against Aaron Rodgers &amp; the Green Bay Packers: 27-24.	
522560839211962368	aaron rodgers	neutral	I'm wearing my Aaron Rodgers jersey to the Charger game this Sunday. #GoPackGo @packers	
523065089977757696	aaron rodgers	negative	"@Espngreeny I'm a Fins fan, it's Friday, and Aaron Rodgers is still giving me nightmares 5 days later. I wished it was a blowout."	
522563839305338880	aaron rodgers	neutral	When girls become bandwagon fans of the Packers because of Harry.   Do y'all even know who Aaron Rodgers is?  Or what a 1st down is?	
522477110049644545	aaron rodgers	positive	Aaron Rodgers is really catching shit for the fake spike Sunday night.. Wtf. It worked like magic. People just wanna complain about the L.	
522551832476790784	aaron rodgers	neutral	If you think  the Browns should or will trade Manziel you're an idiot. Aaron Rodgers sat behind Favre for multiple years.	
522887492333084674	aaron rodgers	neutral	"Green Bay Packers:  Five keys to defeating the Panthers in week seven: Aaron Rodgers On Sunday, ... http://t.co/anCHQjSLh9 #NFL #Packers"	
522512376999186432	aaron rodgers	positive	British Aaron Rodgers may be the best celebrity lookalike out there.  http://t.co/h5KmqlB01F	
522519926985076738	aaron rodgers	positive	What made Aaron Rodgers so good in the final moments during Sunday's win vs. Mia... - http://t.co/6QZYqDdlDa	
522678073485836288	aaron rodgers	positive	Aaron Rodgers' final drive was incredible. But man he was lucky on 4th and 10 that Grimes slipped over. Threw it leaning back on one foot.	
522833555135549442	aaron rodgers	neutral	Some context on Aaron Rodgers interception and win rates trailing in the 2nd half: http://t.co/fnOan3mi2l	
522686794718928896	aaron rodgers	neutral	"NEXT: Latest on the 2nd nurse to test positive for Ebola, Aaron Rodgers meets his look-alike, &amp; @wxgirljen with your forecast."	
