264183816548130816	positive	Gas by my house hit $3.39!!!! I\u2019m going to Chapel Hill on Sat. :)
263405084770172928	negative	Theo Walcott is still shit\u002c watch Rafa and Johnny deal with him on Saturday.
262163168678248449	negative	its not that I\u2019m a GSP fan\u002c i just hate Nick Diaz. can\u2019t wait for february.
264249301910310912	negative	Iranian general says Israel\u2019s Iron Dome can\u2019t deal with their missiles (keep talking like that and we may end up finding out)
262682041215234048	neutral	Tehran\u002c Mon Amour: Obama Tried to Establish Ties with the Mullahs http://t.co/TZZzrrKa via @PJMedia_com No Barack Obama - Vote Mitt Romney
264229576773861376	neutral	I sat through this whole movie just for Harry and Ron at christmas. ohlawd
264105751826538497	positive	with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
264094586689953794	negative	Talking about ACT\u2019s && SAT\u2019s\u002c deciding where I want to go to college\u002c applying to colleges and everything about college stresses me out.
212392538055778304	neutral	"Why is \""""Happy Valentines Day\"""" trending? It\u2019s on the 14th of February not 12th of June smh.."
254941790757601280	negative	They may have a SuperBowl in Dallas\u002c but Dallas ain\u2019t winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
264169034155696130	neutral	Im bringing the monster load of candy tomorrow\u002c I just hope it doesn\u2019t get all squiched
263192091700654080	neutral	Apple software\u002c retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://t.co/X49ZEOsG
263398998675693568	positive	@oluoch @victor_otti @kunjand I just watched it! Sridevi\u2019s comeback.... U remember her from the 90s?? Sun mornings on NTA ;)
263650552167157762	positive	One of my best 8th graders Kory was excited after his touchdown today!! He did the victor cruz!!lol http://t.co/tqORFrXB
260200142420992000	neutral	#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://t.co/zgUXpcnC #LiveWireAthletics
264087629237202944	positive	@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked
250692636330049538	neutral	@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys
263304719471087617	neutral	#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran\u002c Oct 30\u002c IRNA -- Secretary... http://t.co/9wWvxEbf
261954070938537985	positive	@JackStirling serge is amazing... like hes actually a god the lanky sex god... i saw kasabian and noel together in august. it was amazing.
260940907082293248	neutral	@HatersgonnHate_ @HAMlikeHussain @Ramythe3lite Larry Bird is ranked 4th all-time not including Lebron or Kobe just sayin...
263956867787673600	positive	Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116
263975113404342273	neutral	Expect light-moderate rains over E. Visayas; Cebu\u002c Bohol\u002c Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)
257343699460173824	positive	One ticket left for the @49ers game tomorrow!  Don\u2019t miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!
264125591337463808	negative	AFC away fans on Saturday. All this stuff about the \u2019she said no\u2019 chant. It\u2019s bollocks. When he has the ball\u002c just turn your back on him.
262350309781823488	negative	My Saturday night has consisted of me watching The Grey with my puppy while my parents throw a rager #whaa #liamneesonisbosstho
264259830590603264	negative	Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...
257239661976625152	neutral	Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF\u2019s gonna be cuuuuhraaaaaaaazeeeee
263868270006906880	neutral	James hall LIVE in Indianapolis Dec.8th.. CHRIST CHURCH APOSTOLIC!\u2019 Tixs just $10/adv. $15@door BE THERE..
264223934403211264	neutral	@TrevorJavier the heat game may cost alot more...and plus I would rather see Austin Rivers play
264041764460036096	positive	Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U\u002c ACT NOW! #getafterit
264102295392882689	positive	@TheFFAddict I had Vick and Flacco\u002c needed an upgrade.  Vick may get benched\u002c Jennings a back up again soon. I thought it was a win for me.
264173636141850626	positive	@lisahochstein KEY LARGO\u002c FL!!! Yay just ur neighbor Lisa a sip n a hop away :) always watching #RHOM Thur\u2019s!!
264071572925603841	positive	Looks like Andy the Android may have had a little too much fun yesterday. http://t.co/7ZDEfzEC
262115068320284672	positive	@APGPhoto oooh nice .. Tis tempting to go up the lakes with my Nikon ...  Hmmmm I may do that ..
264239636799430656	neutral	BLACK FRIDAY Huge Saving Aerial View of a City\u002c Paris Las Vegas\u002c the Las Vegas Strip\u002c Las Vegas\u002c... http://t.co/DCTgeSED
264250109833924608	positive	YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!
257951107530252289	negative	@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies\u002c1st she said she was alone &the hosp.now she\u2019s saying how weird it was for Keiffer\u2019s
263502599699955712	negative	@MyBeautyisBrown LMFAO his big ass get on my nerves\u002c you going to class tomorrow?
264089847680077824	positive	@tantrak I\u2019m going to Hong Kong during that time and mamA is on Nov 30. I want to see them live
247426222190125056	positive	Happy 20th Mr. President! Nick J forever off the chain.
224195395138490370	negative	Dream High 2 sucks compared to the 1st one.
236665189502681089	neutral	Mohamed Morsi\u002c Egypt\u2019s Muslim Brotherhood president\u002c instructed the Supreme Council of the Armed Forces Thursday... http://t.co/NnBeUvSt
262384414623936512	neutral	C\u2019mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
