681563394940473347	amy schumer	-1	@MargaretsBelly Amy Schumer is the stereotypical 1st world Laci Green feminazi. Plus she's unfunny
675847244747177984	amy schumer	-1	@dani_pitter I mean I get the hype around JLaw. I may not like her but I get her hype. I just don't understand Amy Schumer and her hype
672827854279843840	amy schumer	-1	Amy Schumer at the #GQmenoftheyear2015 party in a dress we pretty much hate: https://t.co/j5HmmyM99j #GQMOTY2015 https://t.co/V8xzmPmPYX
671502639671042048	amy schumer	-1	"Amy Schumer may have brought us Trainwreck, but that word just got redefined on #TheVoice."
677359143108214784	amy schumer	-1	I just think that sports are stupid &amp;anyone who likes them is a lesser person &amp; has a small intellect- Amy Schumer https://t.co/fdjWKKG5AR
663714752162607104	amy schumer	-1	"If you do like Amy Schumer, I hope you went &amp; saw her Saturday bc after this ridiculousness, I highly doubt Maine will be on list of faves."
671468325617033216	amy schumer	-1	"People are like, ""Amy Schumer? I don't like her, she's fat.""  And I'm all like Ralphie May is fatter, and I don't... https://t.co/p0euQA7Tww"
665033491445383168	amy schumer	-1	"Seriously though, somebody posted Amy Schumer as their woman crush Wednesday on Instagram &amp; I almost went off, but it's not worth it"
678882295349190656	amy schumer	-1	They may be mean but I guess they're not stupid...free TED but you have to pay for Amy Schumer - most unimpressed. https://t.co/BrdeiudNJd
672070053509079040	amy schumer	-1	This Amy Schumer segment is now old news about 2 days too late...good producer would have had it on Monday @localmemphis #Local24 #LML
676724243296419841	amy schumer	-1	WARNING: This may not safe for work. But Mojo &amp; AC just found out about some new Amy Schumer leaked nudes! https://t.co/NqaArdKrl2
673402172596465664	amy schumer	-1	if I have to read another article about how Amy Schumer is a feminist icon I'm going to fucking toss myself into the sun
662755012129529858	amy schumer	-2	Amy Schumer is on Sky Atlantic doing one of the worst stand up sets I have ever seen. And I've almost sat through 30 seconds of Millican.
660800884884946944	amy schumer	0	'Saturday Night Live' re-watch: Amy Schumer's monologue (with Bradley Cooper ... - https://t.co/WFTprpJPSr https://t.co/DJvz2QAM4Z
663981384516677633	amy schumer	0	09 Nov: Selena Gomez with Amy Schumer the 25th Annual Glamour Woman Of The Year Awards in New York City
666027969756987392	amy schumer	0	@AlwysBeMkngFrnz we may go see Amy Schumer at the Troc earlier that night
677351021442498560	amy schumer	0	"@ItsMeKimShaw did you see the Friday Night Lights spoof that Amy Schumer did? She had that glass, straight slurping Chardonnay."
